,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
25,M3A,North York,Parkwoods,43.75125503540039,-79.32989501953125,1,Park,Bed & Breakfast,Food & Drink Shop,Pet Store,Yoga Studio,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
26,M3B,North York,Don MillsNorth,43.7491340637207,-79.36200714111328,3,Burger Joint,Coffee Shop,Park,Soccer Field,Gas Station,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
27,M3C,North York,Don MillsSouth(Flemingdon Park,43.72586441040039,-79.34461975097656,3,Restaurant,Dim Sum Restaurant,Clothing Store,Bike Shop,Coffee Shop,Chinese Restaurant,Asian Restaurant,Gym,Sporting Goods Shop,Japanese Restaurant
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.74726867675781,-79.44499206542969,1,Bar,IT Services,Park,Yoga Studio,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space
29,M3J,North York,"Northwood Park, York University",43.7646598815918,-79.49041748046875,3,Japanese Restaurant,Miscellaneous Shop,Bar,Bank,Coffee Shop,Caribbean Restaurant,Fast Food Restaurant,Pizza Place,Massage Studio,Restaurant
30,M3K,North York,DownsviewEast (CFB Toronto,43.7376594543457,-79.46732330322266,1,Park,Airport,Food Court,Coffee Shop,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
31,M3L,North York,DownsviewWest,43.7415657043457,-79.51099395751953,3,Shopping Mall,Pizza Place,Moving Target,Vietnamese Restaurant,Bank,Park,Grocery Store,Coffee Shop,Empanada Restaurant,Eastern European Restaurant
33,M3N,North York,DownsviewNorthwest,43.75693130493164,-79.51971435546875,3,Pizza Place,Fast Food Restaurant,Shopping Mall,Grocery Store,Discount Store,Coffee Shop,Liquor Store,Caribbean Restaurant,Sandwich Place,Beer Store
34,M4A,North York,Victoria Village,43.729957580566406,-79.31420135498047,1,Park,Pizza Place,Portuguese Restaurant,Intersection,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
35,M4B,East York,"Parkview Hill, Woodbine Gardens",43.70757675170898,-79.3109130859375,3,Pizza Place,Fast Food Restaurant,Intersection,Café,Breakfast Spot,Rock Climbing Spot,Gastropub,Bank,Bus Line,Pharmacy
36,M4C,East York,Woodbine Heights,43.6898193359375,-79.31036376953125,3,Thrift / Vintage Store,Gas Station,Bar,Breakfast Spot,Arts & Crafts Store,Café,Sushi Restaurant,Yoga Studio,Elementary School,Empanada Restaurant
37,M4E,East Toronto,The Beaches,43.67961120605469,-79.29569244384766,3,Park,Home Service,Health Food Store,Pizza Place,Coffee Shop,Asian Restaurant,Trail,Pub,Bakery,Elementary School
38,M4G,East York,Leaside,43.70872497558594,-79.36652374267578,3,Bank,Sporting Goods Shop,Sushi Restaurant,Restaurant,Breakfast Spot,Sports Bar,Mexican Restaurant,Bike Shop,Sandwich Place,Electronics Store
39,M4H,East York,Thorncliffe Park,43.69838333129883,-79.35880279541016,3,Trail,Clothing Store,Pool,Skating Rink,Curling Ice,Grocery Store,Ethiopian Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
40,M4J,East YorkEast Toronto,The Danforth East,43.68635940551758,-79.33558654785156,4,Convenience Store,Flea Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant
41,M4K,East Toronto,"The Danforth West, Riverdale",43.68232727050781,-79.35579681396484,1,Grocery Store,Discount Store,Café,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
42,M4L,East Toronto,"India Bazaar, The Beaches West",43.67090606689453,-79.31626892089844,3,Grocery Store,Café,Pizza Place,Fast Food Restaurant,Sushi Restaurant,Brewery,Park,Burrito Place,Liquor Store,Fish & Chips Shop
